site,yr,date,plotid,block,plot,meadow,snow,snow_notes,trt,trt2,clean_code2,hits,simple_name,Scientific_Name_x,Common_Name,Category,Family,Family_Common_Name,Duration,Growth_Habit,simple_lifeform,simple_lifeform2
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,ERSI3,1,Erigeron simplex,Erigeron simplex Greene,onestem fleabane,Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,FEBR,2,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,GERO2,5,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,KOMY,60,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,LEPY2,1,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,Dicot,Portulacaceae,Purslane family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,LLSE,2,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,MIOB2,5,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,twinflower sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,ORALA,5,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,alpine oreoxis,Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,PEPA3,4,Pedicularis parryi,Pedicularis parryi A. Gray,Parry's lousewort,Dicot,Scrophulariaceae,Figwort family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,PHPU5,0.25,Phlox pulvinata,Phlox pulvinata (Wherry) Cronquist,cushion phlox,Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,POBI6,2,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,PRAN,0.25,Primula angustifolia,Primula angustifolia Torr.,alpine primrose,Dicot,Primulaceae,Primrose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,SARH2,2,Saxifraga rhomboidea,Saxifraga rhomboidea Greene,diamondleaf saxifrage,Dicot,Saxifragaceae,Saxifrage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,SEDES,6,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,SELA,3,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,SOSIN,3,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,dwarf goldenrod,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,TRPAP,0.25,Trifolium parryi,Trifolium parryi A. Gray ssp. parryi,Parry's clover,Dicot,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",N-fixer,Forb
nutnet,2013,2013-08-02,B4_4,B4,4,dry,no snow,never affected,N,N,TRSP2,2,Trisetum spicatum,Trisetum spicatum (L.) K. Richt.,spike trisetum,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,2BARE,3,Bare Ground,NA,Bare Ground,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,2LTR,8,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,ALGE,4,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,ANSE4,1,Androsace septentrionalis,Androsace septentrionalis L.,pygmyflower rockjasmine,Dicot,Primulaceae,Primrose family,"Annual, Perennial",Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,ARFEF3,9,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,ARSC,9,Artemisia scopulorum,Artemisia scopulorum A. Gray,alpine sagebrush,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,CAREX,1,Carex sp.,Carex L.,sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,CARUD,5,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,CAUN2,2,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,CEARS2,0.25,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,field chickweed,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,FEBR,3,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,GERO2,17,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,KOMY,42,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,LEPY2,0.25,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,Dicot,Portulacaceae,Purslane family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,LLSE,7,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,MELA3,1,Mertensia lanceolata,Mertensia lanceolata (Pursh) DC.,prairie bluebells,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,MIOB2,5,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,twinflower sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,POBI6,3,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,SEDES,2,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,SELA,3,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,SOSIN,16,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,dwarf goldenrod,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,TEACC,2,Tetraneuris acaulis,Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson,caespitose four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,TEGR3,1,Tetraneuris grandiflora,Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker,graylocks four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,TRPAP,5,Trifolium parryi,Trifolium parryi A. Gray ssp. parryi,Parry's clover,Dicot,Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",N-fixer,Forb
nutnet,2013,2013-08-02,B4_5,B4,5,dry,no snow,never affected,P+K,P,TRSP2,5,Trisetum spicatum,Trisetum spicatum (L.) K. Richt.,spike trisetum,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,2LTR,7,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,ALGE,3,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,ARFEF3,4,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,ARSC,3,Artemisia scopulorum,Artemisia scopulorum A. Gray,alpine sagebrush,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,CARO2,1,Campanula rotundifolia,Campanula rotundifolia L.,bluebell bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,CARUD,33,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,CASC12,8,Carex scopulorum,Carex scopulorum T. Holm,mountain sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,CAUN2,6,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,DECE,2,Deschampsia cespitosa,Deschampsia cespitosa (L.) P. Beauv.,tufted hairgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,ERNA,0.25,Eritrichium nanum,Eritrichium nanum (Vill.) Schrad. ex Gaudin,arctic alpine forget-me-not,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,FEBR,2,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,GERO2,3,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,KOMY,42,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,LLSE,4,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,MELA3,2,Mertensia lanceolata,Mertensia lanceolata (Pursh) DC.,prairie bluebells,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,MIOB2,13,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,twinflower sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,ORALA,20,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,alpine oreoxis,Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,PHPU5,4,Phlox pulvinata,Phlox pulvinata (Wherry) Cronquist,cushion phlox,Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,POBI6,2,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,SEDES,2,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,SELA,3,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,SOSIN,21,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,dwarf goldenrod,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,TEACC,6,Tetraneuris acaulis,Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson,caespitose four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,TEGR3,1,Tetraneuris grandiflora,Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker,graylocks four-nerve daisy,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_6,B4,6,dry,no snow,never affected,N+K,N,TRSP2,1,Trisetum spicatum,Trisetum spicatum (L.) K. Richt.,spike trisetum,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,2LTR,4,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,ALGE,6,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,ANAL4,2,Antennaria alpina,Antennaria alpina (L.) Gaertn.,alpine pussytoes,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,ARFEF3,18,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,CAPU,0.25,Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,purple reedgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,CARO2,5,Campanula rotundifolia,Campanula rotundifolia L.,bluebell bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,CARUD,27,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,CAUN2,18,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,CEARS2,24,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,field chickweed,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,FEBR,15,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,GERO2,1,Geum rossii,Geum rossii (R. Br.) Ser.,Ross' avens,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,KOMY,31,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,LEPY2,3,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,Dicot,Portulacaceae,Purslane family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,LLSE,2,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,LUSP4,1,Luzula spicata,Luzula spicata (L.) DC.,spiked woodrush,Monocot,Juncaceae,Rush family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,ORALA,1,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,alpine oreoxis,Dicot,Apiaceae,Carrot family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,PEPA3,13,Pedicularis parryi,Pedicularis parryi A. Gray,Parry's lousewort,Dicot,Scrophulariaceae,Figwort family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,POAL2,0.25,Poa alpina,Poa alpina L.,alpine bluegrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,POARG,10,Poa arctica,Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor,arctic bluegrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,POBI6,10,Polygonum bistortoides,Polygonum bistortoides Pursh,American bistort,Dicot,Polygonaceae,Buckwheat family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,PODI2,3,Potentilla diversifolia,Potentilla diversifolia Lehm.,varileaf cinquefoil,Dicot,Rosaceae,Rose family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,POPU3,6,Polemonium pulcherrimum,Polemonium pulcherrimum Hook.,Jacob's-ladder,Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,SEDES,1,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Spike-moss family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,SELA,6,Sedum lanceolatum,Sedum lanceolatum Torr.,spearleaf stonecrop,Dicot,Crassulaceae,Stonecrop family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,SOSIN,10,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,dwarf goldenrod,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,TRSP2,16,Trisetum spicatum,Trisetum spicatum (L.) K. Richt.,spike trisetum,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_7,B4,7,dry,no snow,never affected,N+P,N+P,VIOLA,1,Viola sp.,Viola L.,violet,Dicot,Violaceae,Violet family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,2LTR,3,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,ALGE,5,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,ANAL4,6,Antennaria alpina,Antennaria alpina (L.) Gaertn.,alpine pussytoes,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,ARFEF3,16,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,ARSC,1,Artemisia scopulorum,Artemisia scopulorum A. Gray,alpine sagebrush,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,CAPU,4,Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,purple reedgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,CAREX,4,Carex sp.,Carex L.,sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,CARO2,9,Campanula rotundifolia,Campanula rotundifolia L.,bluebell bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,CARUD,14,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,CAUN2,7,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,CEARS2,7,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,field chickweed,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,FEBR,8,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,alpine fescue,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,KOMY,43,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Bellardi bog sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-08-02,B4_8,B4,8,dry,no snow,never affected,N+P+K,N+P,LEPY2,1,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,Dicot,Portulacaceae,Purslane family,Perennial,Forb/herb,Forb,Forb
