"spp_gains","event","year","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
"LEWPYG",16,2017,"4_CAX","Tundra Lab",4,"CAX","A","X","LEPY2","Lewisia pygmaea","forb"
"SELDEN",17,2018,"4_CAX","Tundra Lab",4,"CAX","A","X","SEDES","Selaginella densa var. scopulorum","lycopod"
"LEWPYG",2,2003,"5_CAX","Watershed",5,"CAX","A","X","LEPY2","Lewisia pygmaea","forb"
"CHIJAM",3,2004,"5_CAX","Watershed",5,"CAX","A","X","CHJA","Chionophila jamesii","forb"
"RHORHO",3,2004,"5_CAX","Watershed",5,"CAX","A","X","RHRH4","Rhodiola rhodantha","forb"
NA,4,2005,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"MINOBT",5,2006,"5_CAX","Watershed",5,"CAX","A","X","MIOB2","Minuartia obtusiloba","forb"
"POTDIV",5,2006,"5_CAX","Watershed",5,"CAX","A","X","PODI2","Potentilla diversifolia","forb"
NA,6,2007,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,7,2008,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"SAXRHO",8,2009,"5_CAX","Watershed",5,"CAX","A","X","SARH2","Saxifraga rhomboidea","forb"
NA,9,2010,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,10,2011,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,11,2012,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"FESBRA",12,2013,"5_CAX","Watershed",5,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
NA,13,2014,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,14,2015,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,15,2016,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
NA,16,2017,"5_CAX","Watershed",5,"CAX","A","X",NA,NA,NA
"POAALP",17,2018,"5_CAX","Watershed",5,"CAX","A","X","POAL2","Poa alpina","graminoid"
NA,2,2003,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"BISVIV",3,2004,"6_CAX","Lefty",6,"CAX","A","X","POVI3","Polygonum viviparum","forb"
"STELON",3,2004,"6_CAX","Lefty",6,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
"LEWPYG",4,2005,"6_CAX","Lefty",6,"CAX","A","X","LEPY2","Lewisia pygmaea","forb"
"FESBRA",5,2006,"6_CAX","Lefty",6,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
"CHIJAM",6,2007,"6_CAX","Lefty",6,"CAX","A","X","CHJA","Chionophila jamesii","forb"
"LUZSPI",6,2007,"6_CAX","Lefty",6,"CAX","A","X","LUSP4","Luzula spicata","graminoid"
NA,7,2008,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"POAGLA",8,2009,"6_CAX","Lefty",6,"CAX","A","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,9,2010,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"DANINT",10,2011,"6_CAX","Lefty",6,"CAX","A","X","DAIN","Danthonia intermedia","graminoid"
NA,11,2012,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"GENAMA",12,2013,"6_CAX","Lefty",6,"CAX","A","X","GEAM3","Gentianella amarella","forb"
"TRIPAR",13,2014,"6_CAX","Lefty",6,"CAX","A","X","TRPAP","Trifolium parryi ssp. parryi","forb"
"ERIMEL",14,2015,"6_CAX","Lefty",6,"CAX","A","X","ERME2","Erigeron melanocephalus","forb"
NA,15,2016,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
NA,16,2017,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
NA,17,2018,"6_CAX","Lefty",6,"CAX","A","X",NA,NA,NA
"ALLGEY",2,2003,"7_CAX","Subalpine",7,"CAX","A","X","ALGE","Allium geyeri","forb"
"BISVIV",2,2003,"7_CAX","Subalpine",7,"CAX","A","X","POVI3","Polygonum viviparum","forb"
"DANINT",3,2004,"7_CAX","Subalpine",7,"CAX","A","X","DAIN","Danthonia intermedia","graminoid"
"STELON",3,2004,"7_CAX","Subalpine",7,"CAX","A","X","STLOL7","Stellaria longipes ssp. longipes","forb"
"AREFEN",4,2005,"7_CAX","Subalpine",7,"CAX","A","X","ARFE3","Arenaria fendleri","forb"
"LEWPYG",4,2005,"7_CAX","Subalpine",7,"CAX","A","X","LEPY2","Lewisia pygmaea","forb"
"SEDLAN",4,2005,"7_CAX","Subalpine",7,"CAX","A","X","SELA","Sedum lanceolatum","forb"
"TRISPI",4,2005,"7_CAX","Subalpine",7,"CAX","A","X","TRSP2","Trisetum spicatum","graminoid"
NA,5,2006,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
"MINOBT",6,2007,"7_CAX","Subalpine",7,"CAX","A","X","MIOB2","Minuartia obtusiloba","forb"
"LUZSPI",7,2008,"7_CAX","Subalpine",7,"CAX","A","X","LUSP4","Luzula spicata","graminoid"
"FESBRA",8,2009,"7_CAX","Subalpine",7,"CAX","A","X","FEBR","Festuca brachyphylla","graminoid"
NA,9,2010,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,10,2011,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,11,2012,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,12,2013,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,13,2014,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,14,2015,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,15,2016,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,16,2017,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
NA,17,2018,"7_CAX","Subalpine",7,"CAX","A","X",NA,NA,NA
"ERISIM",2,2003,"1_CBX","Longs",1,"CBX","B","X","ERSI3","Erigeron simplex","forb"
"LLOSER",2,2003,"1_CBX","Longs",1,"CBX","B","X","LLSE","Lloydia serotina","forb"
NA,3,2004,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
"AREFEN",4,2005,"1_CBX","Longs",1,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
"MERLAN",4,2005,"1_CBX","Longs",1,"CBX","B","X","MELA3","Mertensia lanceolata","forb"
"FESBRA",5,2006,"1_CBX","Longs",1,"CBX","B","X","FEBR","Festuca brachyphylla","graminoid"
NA,6,2007,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,7,2008,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,8,2009,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,9,2010,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,10,2011,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
"CHIJAM",11,2012,"1_CBX","Longs",1,"CBX","B","X","CHJA","Chionophila jamesii","forb"
"POAGLA",11,2012,"1_CBX","Longs",1,"CBX","B","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
"POAALP",12,2013,"1_CBX","Longs",1,"CBX","B","X","POAL2","Poa alpina","graminoid"
NA,13,2014,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,14,2015,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
NA,15,2016,"1_CBX","Longs",1,"CBX","B","X",NA,NA,NA
"TRISPI",16,2017,"1_CBX","Longs",1,"CBX","B","X","TRSP2","Trisetum spicatum","graminoid"
"POAARC",17,2018,"1_CBX","Longs",1,"CBX","B","X","POARG","Poa arctica ssp. grayana","graminoid"
NA,2,2003,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,3,2004,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"AREFEN",4,2005,"2_CBX","Edge",2,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
NA,5,2006,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"LEWPYG",6,2007,"2_CBX","Edge",2,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
"LUZSPI",7,2008,"2_CBX","Edge",2,"CBX","B","X","LUSP4","Luzula spicata","graminoid"
NA,8,2009,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,9,2010,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,10,2011,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,11,2012,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,12,2013,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
NA,13,2014,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"POAALP",14,2015,"2_CBX","Edge",2,"CBX","B","X","POAL2","Poa alpina","graminoid"
NA,15,2016,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"RHOINT",16,2017,"2_CBX","Edge",2,"CBX","B","X","RHIN11","Rhodiola integrifolia","forb"
NA,17,2018,"2_CBX","Edge",2,"CBX","B","X",NA,NA,NA
"STELON",2,2003,"3_CBX","Edge",3,"CBX","B","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,3,2004,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"AREFEN",4,2005,"3_CBX","Edge",3,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
"RHOINT",5,2006,"3_CBX","Edge",3,"CBX","B","X","RHIN11","Rhodiola integrifolia","forb"
"FESBRA",6,2007,"3_CBX","Edge",3,"CBX","B","X","FEBR","Festuca brachyphylla","graminoid"
"LEWPYG",6,2007,"3_CBX","Edge",3,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
"LUZSPI",7,2008,"3_CBX","Edge",3,"CBX","B","X","LUSP4","Luzula spicata","graminoid"
"LLOSER",8,2009,"3_CBX","Edge",3,"CBX","B","X","LLSE","Lloydia serotina","forb"
NA,9,2010,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,10,2011,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,11,2012,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
NA,12,2013,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"SALIX_SP1",13,2014,"3_CBX","Edge",3,"CBX","B","X","SALIX","Salix","shrub, subshrub"
"GENAMA",14,2015,"3_CBX","Edge",3,"CBX","B","X","GEAM3","Gentianella amarella","forb"
"CHIJAM",15,2016,"3_CBX","Edge",3,"CBX","B","X","CHJA","Chionophila jamesii","forb"
"POAALP",15,2016,"3_CBX","Edge",3,"CBX","B","X","POAL2","Poa alpina","graminoid"
"SAXRHO",15,2016,"3_CBX","Edge",3,"CBX","B","X","SARH2","Saxifraga rhomboidea","forb"
"POTDIV",16,2017,"3_CBX","Edge",3,"CBX","B","X","PODI2","Potentilla diversifolia","forb"
"SEDLAN",16,2017,"3_CBX","Edge",3,"CBX","B","X","SELA","Sedum lanceolatum","forb"
NA,17,2018,"3_CBX","Edge",3,"CBX","B","X",NA,NA,NA
"BISVIV",2,2003,"4_CBX","Tundra Lab",4,"CBX","B","X","POVI3","Polygonum viviparum","forb"
"ERIPIN",2,2003,"4_CBX","Tundra Lab",4,"CBX","B","X","ERPI6","Erigeron pinnatisectus","forb"
"RANADO",3,2004,"4_CBX","Tundra Lab",4,"CBX","B","X","RAAD","Ranunculus adoneus","forb"
"STELON",3,2004,"4_CBX","Tundra Lab",4,"CBX","B","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,4,2005,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"FESBRA",5,2006,"4_CBX","Tundra Lab",4,"CBX","B","X","FEBR","Festuca brachyphylla","graminoid"
"MINOBT",5,2006,"4_CBX","Tundra Lab",4,"CBX","B","X","MIOB2","Minuartia obtusiloba","forb"
"PHLALP",5,2006,"4_CBX","Tundra Lab",4,"CBX","B","X","PHAL2","Phleum alpinum","graminoid"
"AREFEN",6,2007,"4_CBX","Tundra Lab",4,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
"POTDIV",6,2007,"4_CBX","Tundra Lab",4,"CBX","B","X","PODI2","Potentilla diversifolia","forb"
NA,7,2008,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"RHOINT",8,2009,"4_CBX","Tundra Lab",4,"CBX","B","X","RHIN11","Rhodiola integrifolia","forb"
NA,9,2010,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
NA,10,2011,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
NA,11,2012,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"CASOCC",12,2013,"4_CBX","Tundra Lab",4,"CBX","B","X","CAOC4","Castilleja occidentalis","forb"
"CARHET",13,2014,"4_CBX","Tundra Lab",4,"CBX","B","X","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
NA,14,2015,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"LEWPYG",15,2016,"4_CBX","Tundra Lab",4,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
NA,16,2017,"4_CBX","Tundra Lab",4,"CBX","B","X",NA,NA,NA
"SELDEN",17,2018,"4_CBX","Tundra Lab",4,"CBX","B","X","SEDES","Selaginella densa var. scopulorum","lycopod"
NA,2,2003,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
"CHIJAM",3,2004,"5_CBX","Watershed",5,"CBX","B","X","CHJA","Chionophila jamesii","forb"
"LEWPYG",3,2004,"5_CBX","Watershed",5,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
"PEDGRO",3,2004,"5_CBX","Watershed",5,"CBX","B","X","PEGR2","Pedicularis groenlandica","forb"
"ERISIM",4,2005,"5_CBX","Watershed",5,"CBX","B","X","ERSI3","Erigeron simplex","forb"
NA,5,2006,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,6,2007,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,7,2008,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,8,2009,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,9,2010,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,10,2011,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
"SIBPRO",11,2012,"5_CBX","Watershed",5,"CBX","B","X","SIPR","Sibbaldia procumbens","forb"
NA,12,2013,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,13,2014,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
"LLOSER",14,2015,"5_CBX","Watershed",5,"CBX","B","X","LLSE","Lloydia serotina","forb"
NA,15,2016,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
"CAMROT",16,2017,"5_CBX","Watershed",5,"CBX","B","X","CARO2","Campanula rotundifolia","forb"
NA,17,2018,"5_CBX","Watershed",5,"CBX","B","X",NA,NA,NA
NA,2,2003,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"POTDIV",3,2004,"6_CBX","Lefty",6,"CBX","B","X","PODI2","Potentilla diversifolia","forb"
"STELON",3,2004,"6_CBX","Lefty",6,"CBX","B","X","STLOL7","Stellaria longipes ssp. longipes","forb"
"LUZSPI",4,2005,"6_CBX","Lefty",6,"CBX","B","X","LUSP4","Luzula spicata","graminoid"
"TRISPI",4,2005,"6_CBX","Lefty",6,"CBX","B","X","TRSP2","Trisetum spicatum","graminoid"
"LEWPYG",5,2006,"6_CBX","Lefty",6,"CBX","B","X","LEPY2","Lewisia pygmaea","forb"
"CHIJAM",6,2007,"6_CBX","Lefty",6,"CBX","B","X","CHJA","Chionophila jamesii","forb"
NA,7,2008,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"AREFEN",8,2009,"6_CBX","Lefty",6,"CBX","B","X","ARFE3","Arenaria fendleri","forb"
"POAGLA",8,2009,"6_CBX","Lefty",6,"CBX","B","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,9,2010,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,10,2011,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,11,2012,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,12,2013,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"GENAMA",13,2014,"6_CBX","Lefty",6,"CBX","B","X","GEAM3","Gentianella amarella","forb"
NA,14,2015,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,15,2016,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
NA,16,2017,"6_CBX","Lefty",6,"CBX","B","X",NA,NA,NA
"SELDEN",17,2018,"6_CBX","Lefty",6,"CBX","B","X","SEDES","Selaginella densa var. scopulorum","lycopod"
"MERLAN",2,2003,"7_CBX","Subalpine",7,"CBX","B","X","MELA3","Mertensia lanceolata","forb"
"RHORHO",3,2004,"7_CBX","Subalpine",7,"CBX","B","X","RHRH4","Rhodiola rhodantha","forb"
"TRISPI",3,2004,"7_CBX","Subalpine",7,"CBX","B","X","TRSP2","Trisetum spicatum","graminoid"
"ARTSCO",4,2005,"7_CBX","Subalpine",7,"CBX","B","X","ARSC","Artemisia scopulorum","forb"
"DANINT",4,2005,"7_CBX","Subalpine",7,"CBX","B","X","DAIN","Danthonia intermedia","graminoid"
"ERISIM",4,2005,"7_CBX","Subalpine",7,"CBX","B","X","ERSI3","Erigeron simplex","forb"
"RHOINT",4,2005,"7_CBX","Subalpine",7,"CBX","B","X","RHIN11","Rhodiola integrifolia","forb"
NA,5,2006,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"GENAMA",6,2007,"7_CBX","Subalpine",7,"CBX","B","X","GEAM3","Gentianella amarella","forb"
NA,7,2008,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,8,2009,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"LUZSPI",9,2010,"7_CBX","Subalpine",7,"CBX","B","X","LUSP4","Luzula spicata","graminoid"
NA,10,2011,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,11,2012,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,12,2013,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,13,2014,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"FESBRA",14,2015,"7_CBX","Subalpine",7,"CBX","B","X","FEBR","Festuca brachyphylla","graminoid"
NA,15,2016,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,16,2017,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
NA,17,2018,"7_CBX","Subalpine",7,"CBX","B","X",NA,NA,NA
"CASOCC",2,2003,"1_CDC","Longs",1,"CDC","D","C","CAOC4","Castilleja occidentalis","forb"
"ERISIM",2,2003,"1_CDC","Longs",1,"CDC","D","C","ERSI3","Erigeron simplex","forb"
"BISVIV",3,2004,"1_CDC","Longs",1,"CDC","D","C","POVI3","Polygonum viviparum","forb"
"RHOINT",3,2004,"1_CDC","Longs",1,"CDC","D","C","RHIN11","Rhodiola integrifolia","forb"
"RHORHO",3,2004,"1_CDC","Longs",1,"CDC","D","C","RHRH4","Rhodiola rhodantha","forb"
"AREFEN",4,2005,"1_CDC","Longs",1,"CDC","D","C","ARFE3","Arenaria fendleri","forb"
NA,5,2006,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"FESBRA",6,2007,"1_CDC","Longs",1,"CDC","D","C","FEBR","Festuca brachyphylla","graminoid"
NA,7,2008,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,8,2009,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,9,2010,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"POAGLA",10,2011,"1_CDC","Longs",1,"CDC","D","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,11,2012,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
NA,12,2013,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"CHIJAM",13,2014,"1_CDC","Longs",1,"CDC","D","C","CHJA","Chionophila jamesii","forb"
"POAARC",13,2014,"1_CDC","Longs",1,"CDC","D","C","POARG","Poa arctica ssp. grayana","graminoid"
NA,14,2015,"1_CDC","Longs",1,"CDC","D","C",NA,NA,NA
"CALLEP",2,2003,"2_CDC","Edge",2,"CDC","D","C","CALE4","Caltha leptosepala","forb"
"GENPRO",2,2003,"2_CDC","Edge",2,"CDC","D","C","GEPR3","Gentiana prostrata","forb"
"RHORHO",3,2004,"2_CDC","Edge",2,"CDC","D","C","RHRH4","Rhodiola rhodantha","forb"
NA,4,2005,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"AREFEN",5,2006,"2_CDC","Edge",2,"CDC","D","C","ARFE3","Arenaria fendleri","forb"
"PHLALP",5,2006,"2_CDC","Edge",2,"CDC","D","C","PHAL2","Phleum alpinum","graminoid"
NA,6,2007,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,7,2008,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,8,2009,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,9,2010,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,10,2011,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,11,2012,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,12,2013,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,13,2014,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
NA,14,2015,"2_CDC","Edge",2,"CDC","D","C",NA,NA,NA
"BISVIV",2,2003,"3_CDC","Edge",3,"CDC","D","C","POVI3","Polygonum viviparum","forb"
NA,3,2004,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,4,2005,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,5,2006,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
"LEWPYG",6,2007,"3_CDC","Edge",3,"CDC","D","C","LEPY2","Lewisia pygmaea","forb"
"TRISPI",6,2007,"3_CDC","Edge",3,"CDC","D","C","TRSP2","Trisetum spicatum","graminoid"
NA,7,2008,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,8,2009,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,9,2010,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,10,2011,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,11,2012,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
"CHIJAM",12,2013,"3_CDC","Edge",3,"CDC","D","C","CHJA","Chionophila jamesii","forb"
NA,13,2014,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
NA,14,2015,"3_CDC","Edge",3,"CDC","D","C",NA,NA,NA
"BISBIS",2,2003,"4_CDC","Tundra Lab",4,"CDC","D","C","POBI6","Polygonum bistortoides","forb"
"STELON",3,2004,"4_CDC","Tundra Lab",4,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,4,2005,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,5,2006,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
"LLOSER",6,2007,"4_CDC","Tundra Lab",4,"CDC","D","C","LLSE","Lloydia serotina","forb"
"FESBRA",7,2008,"4_CDC","Tundra Lab",4,"CDC","D","C","FEBR","Festuca brachyphylla","graminoid"
NA,8,2009,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,9,2010,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
"TRISPI",10,2011,"4_CDC","Tundra Lab",4,"CDC","D","C","TRSP2","Trisetum spicatum","graminoid"
NA,11,2012,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
NA,12,2013,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
"CARHET",13,2014,"4_CDC","Tundra Lab",4,"CDC","D","C","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
NA,14,2015,"4_CDC","Tundra Lab",4,"CDC","D","C",NA,NA,NA
"CASOCC",2,2003,"5_CDC","Watershed",5,"CDC","D","C","CAOC4","Castilleja occidentalis","forb"
"LEWPYG",2,2003,"5_CDC","Watershed",5,"CDC","D","C","LEPY2","Lewisia pygmaea","forb"
"LLOSER",2,2003,"5_CDC","Watershed",5,"CDC","D","C","LLSE","Lloydia serotina","forb"
"RHOINT",2,2003,"5_CDC","Watershed",5,"CDC","D","C","RHIN11","Rhodiola integrifolia","forb"
"CARSCO",3,2004,"5_CDC","Watershed",5,"CDC","D","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"CHIJAM",3,2004,"5_CDC","Watershed",5,"CDC","D","C","CHJA","Chionophila jamesii","forb"
"POAGLA",3,2004,"5_CDC","Watershed",5,"CDC","D","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"RHORHO",3,2004,"5_CDC","Watershed",5,"CDC","D","C","RHRH4","Rhodiola rhodantha","forb"
"STELON",4,2005,"5_CDC","Watershed",5,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"ALLGEY",5,2006,"5_CDC","Watershed",5,"CDC","D","C","ALGE","Allium geyeri","forb"
"LUZSPI",5,2006,"5_CDC","Watershed",5,"CDC","D","C","LUSP4","Luzula spicata","graminoid"
"POAALP",5,2006,"5_CDC","Watershed",5,"CDC","D","C","POAL2","Poa alpina","graminoid"
"SAXRHO",6,2007,"5_CDC","Watershed",5,"CDC","D","C","SARH2","Saxifraga rhomboidea","forb"
NA,7,2008,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,8,2009,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
"TRISPI",9,2010,"5_CDC","Watershed",5,"CDC","D","C","TRSP2","Trisetum spicatum","graminoid"
NA,10,2011,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,11,2012,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,12,2013,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,13,2014,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
NA,14,2015,"5_CDC","Watershed",5,"CDC","D","C",NA,NA,NA
"BISVIV",2,2003,"6_CDC","Lefty",6,"CDC","D","C","POVI3","Polygonum viviparum","forb"
"SIBPRO",3,2004,"6_CDC","Lefty",6,"CDC","D","C","SIPR","Sibbaldia procumbens","forb"
"STELON",3,2004,"6_CDC","Lefty",6,"CDC","D","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,4,2005,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
"FESBRA",5,2006,"6_CDC","Lefty",6,"CDC","D","C","FEBR","Festuca brachyphylla","graminoid"
"LUZSPI",5,2006,"6_CDC","Lefty",6,"CDC","D","C","LUSP4","Luzula spicata","graminoid"
"LEWPYG",6,2007,"6_CDC","Lefty",6,"CDC","D","C","LEPY2","Lewisia pygmaea","forb"
NA,7,2008,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,8,2009,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
NA,9,2010,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
"DANINT",10,2011,"6_CDC","Lefty",6,"CDC","D","C","DAIN","Danthonia intermedia","graminoid"
NA,11,2012,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
"GENAMA",12,2013,"6_CDC","Lefty",6,"CDC","D","C","GEAM3","Gentianella amarella","forb"
NA,13,2014,"6_CDC","Lefty",6,"CDC","D","C",NA,NA,NA
