site,yr,plot,snow,snow_notes,meadow,trt,point,hit,clean_code2,simple_name,Common_Name,Category,Family,Growth_Habit,fxnl_grp,nutnet_grp
SDL,2016,20,no snow,never affected,mesic,C,32,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,32,2,CEARS2,Cerastium arvense,field chickweed,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,32,3,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,33,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,33,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,34,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,35,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,35,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,36,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,37,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,37,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,38,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,39,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,40,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,41,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,41,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,42,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,42,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,43,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,44,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,45,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,45,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,46,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,47,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,48,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,48,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,49,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,50,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,50,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,51,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,51,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,52,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,53,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,53,2,CEARS2,Cerastium arvense,field chickweed,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,53,3,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,54,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,54,2,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,55,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,56,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,56,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,57,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,57,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,58,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,59,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,20,no snow,never affected,mesic,C,60,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,60,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,61,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,61,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,62,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,62,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,63,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,20,no snow,never affected,mesic,C,64,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,65,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,66,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,66,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,67,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,67,2,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,68,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,20,no snow,never affected,mesic,C,69,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,69,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,70,1,FEBR,Festuca brachyphylla,alpine fescue,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,71,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,72,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,73,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,74,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,74,2,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,75,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,76,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,76,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,77,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,78,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,78,2,CEARS2,Cerastium arvense,field chickweed,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,79,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,80,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,80,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,81,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,81,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,82,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,83,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,20,no snow,never affected,mesic,C,84,1,CEARS2,Cerastium arvense,field chickweed,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,84,2,ERSI3,Erigeron simplex,onestem fleabane,Dicot,Asteraceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,85,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,86,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,86,2,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,87,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,88,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,88,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,89,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,90,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,91,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,92,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,93,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,94,1,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,95,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,96,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,97,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,97,2,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,98,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,98,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,99,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,20,no snow,never affected,mesic,C,99,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,20,no snow,never affected,mesic,C,100,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,1,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,2,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,3,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,4,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,5,1,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,5,2,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,6,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,7,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,8,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,8,2,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,9,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,9,2,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,10,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,10,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,10,3,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,11,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,12,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,13,1,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,14,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,15,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,16,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,17,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,18,1,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,19,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,19,2,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,20,1,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,21,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,22,1,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,23,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,24,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,25,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,26,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,27,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,28,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,29,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,29,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,30,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,30,2,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,31,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,31,2,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,32,1,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,32,2,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,33,1,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,34,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,35,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,36,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,37,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,37,2,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,38,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,38,2,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,39,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,39,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,40,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,41,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,42,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,43,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,44,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,45,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,46,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,47,1,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,48,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,48,2,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,49,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,49,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,50,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,51,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,52,1,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,53,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,54,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,55,1,TRPAP,Trifolium parryi,Parry's clover,Dicot,Fabaceae,"Subshrub, Forb/herb",Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,56,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,56,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,57,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,57,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,57,3,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,58,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,58,2,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,59,1,DECE,Deschampsia cespitosa,tufted hairgrass,Monocot,Poaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,60,1,CASC12,Carex scopulorum,mountain sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,21,no snow,never affected,mesic,N,61,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,61,2,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,62,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,63,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,21,no snow,never affected,mesic,N,64,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,65,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,66,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
SDL,2016,21,no snow,never affected,mesic,N,67,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
