"Site","Date","Block","Plot","N","P","Micro","K+","FieldCode","FieldName","Hits","USDA_Symbol","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"CASC12","Carex scopulorum",18,"CASC12","Carex scopulorum T. Holm","mountain sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"CAUN2","Campanula uniflora",18,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"DECE","Deschampsia caespitosa",5,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"DRST4","Draba streptocarpa",1,"DRST4","Draba streptocarpa A. Gray","pretty draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"ERSI3","Erigeron simplex",1,"ERSI3","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"FEBR","Festuca brachyphylla",3,"FEBR","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"FORB2","Unk forb2",1,"2FORB",NA,"Forb (herbaceous, not grass nor grass-like)",NA,NA,NA,"Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"GERO2","Geum rossii",15,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"GRASS1","Unk grass1",1,"2GRAM",NA,"Graminoid (grass or grass-like)",NA,NA,NA,"Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"HEMO3","Helictotrichon mortonianum",4,"HEMO3","Helictotrichon mortonianum (Scribn.) Henr.","Morton's alpine oatgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"KOMY","Kobresia myosuroides",68,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"LLSE","Lloydia serotina",3,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"MELA3","Mertensia lanceolata",10,"MELA3","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"MIOB2","Minuartia obtusiloba",2,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"ORALA","Oreoxis alpina ssp. alpina",28,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"PHPU5","Phlox pulvinata",2,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"POAL2","Poa alpina",3,"POAL2","Poa alpina L.","alpine bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"POBI6","Polygonum bistortoides",2,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"PODI2","Potentilla diversifolia",4,"PODI2","Potentilla diversifolia Lehm.","varileaf cinquefoil","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"POVI3","Polygonum viviparum",0.25,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"SOSIN","Solidago simplex ssp. simplex var. nana",1,"SOSIN","Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius","dwarf goldenrod","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"TEGR3","Tetraneuris grandiflora",4,"TEGR3","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"TRSP2","Trisetum spicatum",8,"TRSP2","Trisetum spicatum (L.) K. Richt.","spike trisetum","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,8,1,1,1,0,"VIOLET","Viola spp",1,"VIOLA","Viola L.","violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"2BARE","Bare ground",1,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"2LICHN","Lichen",4,"2LICHN",NA,"Lichen",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"2LTR","Litter",1,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"2RF","Rock fragment",4,"2RF",NA,"Rock, fragments",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"ALGE","Allium geyeri",7,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"ARFEF3","Arenaria fendleri var. fendleri",1,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"ARSC","Artemisia scopulorum",5,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"CARUD","Carex rupestris var. drummondiana",34,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"CASC12","Carex scopulorum",14,"CASC12","Carex scopulorum T. Holm","mountain sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"CAUN2","Campanula uniflora",1,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"CEARS2","Cerastium arvense ssp. strictum",1,"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"DECE","Deschampsia caespitosa",1,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"ERNA","Eritrichium nanum",1,"ERNA","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"FEBR","Festuca brachyphylla",1,"FEBR","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"GERO2","Geum rossii",25,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"KOMY","Kobresia myosuroides",16,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"MELA3","Mertensia lanceolata",2,"MELA3","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"MIOB2","Minuartia obtusiloba",11,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"ORALA","Oreoxis alpina ssp. alpina",13,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"PEPA3","Pedicularis parryi",1,"PEPA3","Pedicularis parryi A. Gray","Parry's lousewort","Dicot","Scrophulariaceae","Figwort family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"PHPU5","Phlox pulvinata",6,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"POARG","Poa arctica ssp. grayana",4,"POARG","Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor","arctic bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"POBI6","Polygonum bistortoides",1,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"PODI2","Potentilla diversifolia",13,"PODI2","Potentilla diversifolia Lehm.","varileaf cinquefoil","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"POPU3","Polemonium pulcherrimum",8,"POPU3","Polemonium pulcherrimum Hook.","Jacob's-ladder","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"POVI3","Polygonum viviparum",9,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"SEDES","Selaginella densa var. scopulorum",7,"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"SELA","Sedum lanceolatum",0.25,"SELA","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"SIACS2","Silene acaulis var. subacaulescens",5,"SIACS2","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"TEAC","Tetraneuris acaulis",6,"TEACC","Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson","caespitose four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"TEGR3","Tetraneuris grandiflora",4,"TEGR3","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"TRPAP","Trifolium parryi ssp. parryi",9,"TRPAP","Trifolium parryi A. Gray ssp. parryi","Parry's clover","Dicot","Fabaceae","Pea family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-28,1,9,0,0,0,0,"VIOLET","Viola spp",1,"VIOLA","Viola L.","violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"2BARE","Bare ground",0.25,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"2LTR","Litter",2,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ALGE","Allium geyeri",11,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ANAL4","Antennaria alpina",0.25,"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ANSE4","Androsace septentrionalis",12,"ANSE4","Androsace septentrionalis L.","pygmyflower rockjasmine","Dicot","Primulaceae","Primrose family","Annual, Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ARSC","Artemisia scopulorum",6,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"CAREX","Carex spp unknown",4,"CAREX","Carex L.","sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"CARO2","Campanula rotundifolia",5,"CARO2","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"CARUD","Carex rupestris var. drummondiana",36,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"CAUN2","Campanula uniflora",0.25,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"CEARS2","Cerastium arvense ssp. strictum",7,"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"DECE","Deschampsia caespitosa",3,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ERCA14","Erysimum capitatum",1,"ERCA14","Erysimum capitatum (Douglas ex Hook.) Greene","sanddune wallflower","Dicot","Brassicaceae","Mustard family","Biennial, Perennial","Forb/herb, Subshrub"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ERME2","Erigeron melanocephalus",2,"ERME2","Erigeron melanocephalus (A. Nelson) A. Nelson","blackhead fleabane","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ERNA","Eritrichium nanum",0.25,"ERNA","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ERPI6","Erigeron pinnatisectus",2,"ERPI6","Erigeron pinnatisectus (A. Gray) A. Nelson","featherleaf fleabane","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"FEBR","Festuca brachyphylla",15,"FEBR","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"GERO2","Geum rossii",7,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"KOMY","Kobresia myosuroides",5,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"LLSE","Lloydia serotina",3,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"LUSP4","Luzula spicata",1,"LUSP4","Luzula spicata (L.) DC.","spiked woodrush","Monocot","Juncaceae","Rush family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"MELA3","Mertensia lanceolata",6,"MELA3","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"MIOB2","Minuartia obtusiloba",16,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"ORALA","Oreoxis alpina ssp. alpina",7,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"PAPU2","Paronychia pulvinata",3,"PAPU2","Paronychia pulvinata A. Gray","Rocky Mountain nailwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"PHPU5","Phlox pulvinata",17,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"POARG","Poa arctica ssp. grayana",4,"POARG","Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor","arctic bluegrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"POBI6","Polygonum bistortoides",2,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"PODI2","Potentilla diversifolia",6,"PODI2","Potentilla diversifolia Lehm.","varileaf cinquefoil","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"POVI","Polemonium viscosum",13,"POVI","Polemonium viscosum Nutt.","sticky polemonium","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"POVI3","Polygonum viviparum",0.25,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"PRAN","Primula angustifolia",1,"PRAN","Primula angustifolia Torr.","alpine primrose","Dicot","Primulaceae","Primrose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"SARH2","Saxifraga rhomboidea",0.25,"SARH2","Saxifraga rhomboidea Greene","diamondleaf saxifrage","Dicot","Saxifragaceae","Saxifrage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"SEDES","Selaginella densa var. scopulorum",4,"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"SELA","Sedum lanceolatum",3,"SELA","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"SIACS2","Silene acaulis var. subacaulescens",7,"SIACS2","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"SOSIN","Solidago simplex ssp. simplex var. nana",3,"SOSIN","Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius","dwarf goldenrod","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"TEAC","Tetraneuris acaulis",6,"TEACC","Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson","caespitose four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"TEGR3","Tetraneuris grandiflora",6,"TEGR3","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"TRSP2","Trisetum spicatum",3,"TRSP2","Trisetum spicatum (L.) K. Richt.","spike trisetum","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-26,1,10,1,1,1,0,"VIOLET","Viola spp",1,"VIOLA","Viola L.","violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"2LICHN","Lichen",1,"2LICHN",NA,"Lichen",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"2LTR","Litter",9,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"ALGE","Allium geyeri",3,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"ARFEF3","Arenaria fendleri var. fendleri",2,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"ARSC","Artemisia scopulorum",1,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"CARUD","Carex rupestris var. drummondiana",20,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"CAUN2","Campanula uniflora",5,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"DECE","Deschampsia caespitosa",1,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"GERO2","Geum rossii",21,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"KOMY","Kobresia myosuroides",44,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"LEPY2","Lewisia pygmaea",0.25,"LEPY2","Lewisia pygmaea (A. Gray) B.L. Rob.","alpine lewisia","Dicot","Portulacaceae","Purslane family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"LLSE","Lloydia serotina",0.25,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"MELA3","Mertensia lanceolata",2,"MELA3","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"MIOB2","Minuartia obtusiloba",14,"MIOB2","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"ORALA","Oreoxis alpina ssp. alpina",3,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"PHPU5","Phlox pulvinata",2,"PHPU5","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"POBI6","Polygonum bistortoides",0.25,"POBI6","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"PODI2","Potentilla diversifolia",0.25,"PODI2","Potentilla diversifolia Lehm.","varileaf cinquefoil","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"POVI3","Polygonum viviparum",5,"POVI3","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"PRAN","Primula angustifolia",1,"PRAN","Primula angustifolia Torr.","alpine primrose","Dicot","Primulaceae","Primrose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"SEDES","Selaginella densa var. scopulorum",8,"SEDES","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"SELA","Sedum lanceolatum",0.25,"SELA","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"SOSIN","Solidago simplex ssp. simplex var. nana",4,"SOSIN","Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius","dwarf goldenrod","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-30,2,1,0,0,0,0,"TEAC","Tetraneuris acaulis",1,"TEACC","Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson","caespitose four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
